date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-17,160,Symbolica,9.0,20.0,92.0
2023-01-17,160,Symbolica Single-rider,,,0.0
2023-01-17,160,The Six Swans,,,92.0
2023-01-17,160,Villa Volta,,,0.0
2023-01-17,160,Vogel Rok,5.0,5.0,100.0
2023-01-17,160,Volkvanlaaf,,,99.0
2023-01-18,160,Anton Pieck Plein,,,99.0
2023-01-18,160,Archipel,,,88.0
2023-01-18,160,Badhuys indoor splash pool,,,42.0
2023-01-18,160,Baron 1898,10.0,20.0,59.0
2023-01-18,160,Baron 1898 Single-rider,5.0,10.0,26.0
2023-01-18,160,Carnaval Festival,5.0,5.0,100.0
2023-01-18,160,De Oude Tufferbaan,5.0,10.0,89.0
2023-01-18,160,De Vliegende Hollander,,,0.0
2023-01-18,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-18,160,Diorama,,,100.0
2023-01-18,160,Droomvlucht,,,0.0
2023-01-18,160,Droomvlucht VR,,,0.0
2023-01-18,160,Efteling Museum,,,85.0
2023-01-18,160,Fabula,10.0,10.0,99.0
2023-01-18,160,Fairytale Forest,,,99.0
2023-01-18,160,Fata Morgana,5.0,10.0,100.0
2023-01-18,160,Gondoletta,,,80.0
2023-01-18,160,Halve Maen,5.0,5.0,100.0
2023-01-18,160,Joris en de Draak,,,0.0
2023-01-18,160,Joris en de Draak Single-rider,,,0.0
2023-01-18,160,Kinderspoor,,,99.0
2023-01-18,160,Kindervreugd,,,99.0
2023-01-18,160,Kleuterhof,,,99.0
2023-01-18,160,Max & Moritz,5.0,5.0,97.0
2023-01-18,160,Max & Moritz Single-rider,,,0.0
2023-01-18,160,Monorail,,,99.0
2023-01-18,160,Nest!,,,99.0
2023-01-18,160,Pagode,5.0,5.0,99.0
2023-01-18,160,Piraña,,,0.0
2023-01-18,160,Python,6.0,20.0,92.0
2023-01-18,160,Python Single-rider,,,0.0
2023-01-18,160,Sirocco,5.0,5.0,100.0
2023-01-18,160,Stoomcarrousel,,,100.0
2023-01-18,160,Stoomtrein Marerijk,25.0,25.0,99.0
2023-01-18,160,Stoomtrein Ruigrijk,25.0,25.0,99.0
2023-01-18,160,Symbolica,8.0,15.0,100.0
2023-01-18,160,Symbolica Single-rider,,,0.0
2023-01-18,160,The Six Swans,,,88.0
2023-01-18,160,Villa Volta,,,0.0
2023-01-18,160,Vogel Rok,5.0,5.0,100.0
2023-01-18,160,Volkvanlaaf,,,99.0
2023-01-19,160,Anton Pieck Plein,,,99.0
2023-01-19,160,Archipel,,,84.0
2023-01-19,160,Badhuys indoor splash pool,,,42.0
2023-01-19,160,Baron 1898,5.0,5.0,98.0
2023-01-19,160,Baron 1898 Single-rider,,,0.0
2023-01-19,160,Carnaval Festival,,,100.0
2023-01-19,160,De Oude Tufferbaan,5.0,5.0,99.0
2023-01-19,160,De Vliegende Hollander,,,0.0
2023-01-19,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-19,160,Diorama,,,100.0
2023-01-19,160,Droomvlucht,,,0.0
2023-01-19,160,Droomvlucht VR,,,0.0
2023-01-19,160,Efteling Museum,,,85.0
2023-01-19,160,Fabula,10.0,10.0,99.0
2023-01-19,160,Fairytale Forest,,,99.0
2023-01-19,160,Fata Morgana,,,100.0
2023-01-19,160,Gondoletta,,,79.0
2023-01-19,160,Halve Maen,,,99.0
2023-01-19,160,Joris en de Draak,,,0.0
2023-01-19,160,Joris en de Draak Single-rider,,,0.0
2023-01-19,160,Kinderspoor,,,98.0
2023-01-19,160,Kindervreugd,,,99.0
2023-01-19,160,Kleuterhof,,,100.0
2023-01-19,160,Max & Moritz,5.0,5.0,97.0
2023-01-19,160,Max & Moritz Single-rider,,,0.0
2023-01-19,160,Monorail,,,99.0
2023-01-19,160,Nest!,,,99.0
2023-01-19,160,Pagode,5.0,5.0,89.0
2023-01-19,160,Piraña,,,0.0
2023-01-19,160,Python,5.0,10.0,69.0
2023-01-19,160,Python Single-rider,,,0.0
2023-01-19,160,Sirocco,5.0,5.0,100.0
2023-01-19,160,Stoomcarrousel,,,100.0
2023-01-19,160,Stoomtrein Marerijk,,,99.0
2023-01-19,160,Stoomtrein Ruigrijk,25.0,25.0,99.0
2023-01-19,160,Symbolica,6.0,10.0,99.0
2023-01-19,160,Symbolica Single-rider,,,0.0
2023-01-19,160,The Six Swans,5.0,5.0,84.0
2023-01-19,160,Villa Volta,,,0.0
2023-01-19,160,Vogel Rok,5.0,5.0,100.0
2023-01-19,160,Volkvanlaaf,,,99.0
2023-01-20,160,Anton Pieck Plein,,,99.0
2023-01-20,160,Archipel,,,0.0
2023-01-20,160,Badhuys indoor splash pool,,,42.0
2023-01-20,160,Baron 1898,5.0,5.0,5.0
2023-01-20,160,Baron 1898 Single-rider,,,0.0
2023-01-20,160,Carnaval Festival,,,100.0
2023-01-20,160,De Oude Tufferbaan,,,0.0
2023-01-20,160,De Vliegende Hollander,,,0.0
2023-01-20,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-20,160,Diorama,,,100.0
2023-01-20,160,Droomvlucht,,,0.0
2023-01-20,160,Droomvlucht VR,,,0.0
2023-01-20,160,Efteling Museum,,,86.0
2023-01-20,160,Fabula,10.0,10.0,99.0
2023-01-20,160,Fairytale Forest,,,99.0
2023-01-20,160,Fata Morgana,,,100.0
2023-01-20,160,Gondoletta,,,86.0
2023-01-20,160,Halve Maen,,,20.0
2023-01-20,160,Joris en de Draak,,,0.0
2023-01-20,160,Joris en de Draak Single-rider,,,0.0
2023-01-20,160,Kinderspoor,,,58.0
2023-01-20,160,Kindervreugd,,,99.0
2023-01-20,160,Kleuterhof,,,100.0
2023-01-20,160,Max & Moritz,,,0.0
2023-01-20,160,Max & Moritz Single-rider,,,0.0
2023-01-20,160,Monorail,,,20.0
2023-01-20,160,Nest!,,,99.0
2023-01-20,160,Pagode,5.0,5.0,89.0
2023-01-20,160,Piraña,,,0.0
2023-01-20,160,Python,,,20.0
2023-01-20,160,Python Single-rider,,,0.0
2023-01-20,160,Sirocco,5.0,5.0,100.0
2023-01-20,160,Stoomcarrousel,,,100.0
2023-01-20,160,Stoomtrein Marerijk,25.0,25.0,99.0
2023-01-20,160,Stoomtrein Ruigrijk,25.0,25.0,96.0
2023-01-20,160,Symbolica,5.0,5.0,99.0
2023-01-20,160,Symbolica Single-rider,,,0.0
2023-01-20,160,The Six Swans,5.0,5.0,97.0
2023-01-20,160,Villa Volta,,,0.0
2023-01-20,160,Vogel Rok,5.0,5.0,91.0
2023-01-20,160,Volkvanlaaf,,,99.0
2023-01-21,160,Anton Pieck Plein,,,99.0
2023-01-21,160,Archipel,,,0.0
2023-01-21,160,Badhuys indoor splash pool,,,100.0
2023-01-21,160,Baron 1898,40.0,60.0,82.0
2023-01-21,160,Baron 1898 Single-rider,29.0,45.0,79.0
2023-01-21,160,Carnaval Festival,26.0,40.0,100.0
2023-01-21,160,De Oude Tufferbaan,15.0,25.0,51.0
2023-01-21,160,De Vliegende Hollander,,,0.0
2023-01-21,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-21,160,Diorama,,,99.0
2023-01-21,160,Droomvlucht,,,0.0
2023-01-21,160,Droomvlucht VR,,,0.0
2023-01-21,160,Efteling Museum,,,88.0
2023-01-21,160,Fabula,10.0,10.0,99.0
2023-01-21,160,Fairytale Forest,,,99.0
2023-01-21,160,Fata Morgana,29.0,45.0,100.0
2023-01-21,160,Gondoletta,12.0,20.0,38.0
