date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct,crowd_percent,crowd_label,temperature_forecast,temperature_actual,rain_forecast,rain_actual,wind_forecast,wind_actual,events
2025-06-24,160,Danse Macabre Single-rider,NA,NA,90,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,De Oude Tufferbaan,NA,NA,0,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,De Vliegende Hollander,31,40,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,De Vliegende Hollander Single-rider,23,40,79,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Droomvlucht,32,45,93,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Fabula,10,10,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Fata Morgana,NA,NA,0,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Gondoletta,13,20,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Halve Maen,17,30,97,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Joris en de Draak,33,45,98,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Joris en de Draak Single-rider,22,35,92,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Kinderspoor,13,25,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Max & Moritz,15,35,81,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Max & Moritz Single-rider,9,15,81,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Monorail,11,20,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Pagode,5,5,96,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Piraña,19,25,92,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Python,21,40,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Python Single-rider,23,35,83,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Sirocco,5,10,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Stoomcarrousel,NA,NA,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Stoomtrein Marerijk,13,25,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Stoomtrein Ruigrijk,13,25,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Symbolica,26,35,99,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Symbolica Single-rider,8,30,97,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Villa Volta,5,15,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Vogel Rok,20,35,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-25,160,Baron 1898,34,60,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Baron 1898 Single-rider,25,60,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Carnaval Festival,11,15,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Danse Macabre,31,45,96,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Danse Macabre Single-rider,NA,NA,96,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,De Oude Tufferbaan,NA,NA,0,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,De Vliegende Hollander,31,40,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,De Vliegende Hollander Single-rider,29,40,57,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Droomvlucht,27,40,97,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Fabula,10,10,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Fata Morgana,NA,NA,0,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Gondoletta,20,35,58,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Halve Maen,14,15,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Joris en de Draak,31,50,97,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Joris en de Draak Single-rider,21,40,97,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Kinderspoor,8,15,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Max & Moritz,12,30,81,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Max & Moritz Single-rider,7,20,83,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Monorail,10,20,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Pagode,5,5,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Piraña,33,45,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Python,19,40,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Python Single-rider,22,55,86,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Sirocco,5,15,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Stoomcarrousel,NA,NA,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Stoomtrein Marerijk,26,30,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Stoomtrein Ruigrijk,26,30,99,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Symbolica,25,40,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Symbolica Single-rider,6,10,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Villa Volta,5,10,94,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-25,160,Vogel Rok,20,30,100,63,Busy,24.9,24.9,0,0,2.9,3.3,NA
2025-06-26,160,Baron 1898,37,50,97,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Baron 1898 Single-rider,29,50,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Carnaval Festival,9,15,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Danse Macabre,33,60,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Danse Macabre Single-rider,NA,NA,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,De Oude Tufferbaan,NA,NA,0,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,De Vliegende Hollander,31,40,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,De Vliegende Hollander Single-rider,22,35,45,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Droomvlucht,27,40,91,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Fabula,10,10,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Fata Morgana,NA,NA,0,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Gondoletta,16,25,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Halve Maen,14,35,97,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Joris en de Draak,31,45,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Joris en de Draak Single-rider,21,35,97,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Kinderspoor,25,35,90,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Max & Moritz,NA,NA,0,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Max & Moritz Single-rider,NA,NA,0,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Monorail,9,25,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Pagode,5,5,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Piraña,25,40,98,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Python,20,30,93,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Python Single-rider,21,40,83,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Sirocco,6,10,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Stoomcarrousel,NA,NA,99,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Stoomtrein Marerijk,26,30,92,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Stoomtrein Ruigrijk,27,35,91,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Symbolica,23,35,96,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Symbolica Single-rider,7,20,96,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Villa Volta,6,15,96,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-26,160,Vogel Rok,22,40,100,68,Busy,22.2,21.3,0.08,0.29,5.5,5.4,NA
2025-06-27,160,Baron 1898,45,65,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Baron 1898 Single-rider,34,60,97,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Carnaval Festival,16,30,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Danse Macabre,41,70,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Danse Macabre Single-rider,NA,NA,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,De Oude Tufferbaan,NA,NA,0,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,De Vliegende Hollander,40,50,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,De Vliegende Hollander Single-rider,35,60,33,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Droomvlucht,36,50,98,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Fabula,10,10,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Fata Morgana,NA,NA,0,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Gondoletta,22,30,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Halve Maen,20,45,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Joris en de Draak,38,55,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Joris en de Draak Single-rider,29,40,91,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Kinderspoor,17,30,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Max & Moritz,14,25,7,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Max & Moritz Single-rider,10,20,7,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Monorail,19,25,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Pagode,6,10,94,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Piraña,36,55,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Python,28,45,93,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Python Single-rider,31,70,89,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Sirocco,10,20,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Stoomcarrousel,NA,NA,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Stoomtrein Marerijk,16,30,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Stoomtrein Ruigrijk,16,30,99,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Symbolica,36,50,97,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Symbolica Single-rider,9,25,97,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Villa Volta,8,15,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-27,160,Vogel Rok,29,45,100,81,Packed,21.2,20.9,0,0,3.6,4.1,NA
2025-06-28,160,Baron 1898,33,55,100,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Baron 1898 Single-rider,30,60,100,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Carnaval Festival,18,30,100,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Danse Macabre,38,60,99,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Danse Macabre Single-rider,NA,NA,99,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,De Oude Tufferbaan,NA,NA,0,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,De Vliegende Hollander,31,50,100,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,De Vliegende Hollander Single-rider,20,40,85,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Droomvlucht,31,45,96,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Fabula,10,10,100,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Fata Morgana,13,30,78,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Gondoletta,23,35,99,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Halve Maen,9,20,99,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
2025-06-28,160,Joris en de Draak,27,45,99,65,Busy,24.4,24.6,0,0,4.1,4.1,NA
